the_geom,BIN,NAME,Height Roof
"MULTIPOLYGON (((-73.990489950106 40.726008987374, -73.990525471064 40.725959437083, -73.990602534644 40.725991411472, -73.990497990308 40.726137245757, -73.990458196473 40.726192755254, -73.990403479302 40.726170052474, -73.990471603114 40.726075023797, -73.990500981973 40.72603404135, -73.990510105234 40.726037826042, -73.990521418718 40.726022043749, -73.990489950106 40.726008987374)))",1077972,,63.74
"MULTIPOLYGON (((-74.004014689767 40.722936264008, -74.004030288818 40.722917812923, -74.004018851122 40.722912214855, -74.004023575811 40.722906626128, -74.004004330707 40.72289720837, -74.003999606017 40.722902797096, -74.003989000439 40.722897607828, -74.003973400197 40.722916058908, -74.003868751851 40.722864847795, -74.00392847685 40.722794203498, -74.003920115506 40.722790111868, -74.003925152648 40.722784153024, -74.003933513992 40.722788244654, -74.003943020176 40.722777000566, -74.004009224439 40.722809397712, -74.004016081835 40.722820569194, -74.004044469489 40.722834460361, -74.004036945741 40.722843359461, -74.004045859867 40.722847721216, -74.004039201284 40.722855597306, -74.004068767882 40.722870064752, -74.004083461497 40.722852683496, -74.004116838301 40.72286901665, -74.004131144625 40.722866955771, -74.004192344554 40.722896904505, -74.00411681714 40.722986241381, -74.004014689767 40.722936264008)))",1007106,,67.8
"MULTIPOLYGON (((-73.994083609723 40.724114237713, -73.994114608122 40.724048157219, -73.994166895537 40.724062353708, -73.994266540668 40.724089409113, -73.994342926605 40.72411014892, -73.994313577185 40.724176676208, -73.994083609723 40.724114237713)))",1007890,,58.64182784
"MULTIPOLYGON (((-73.98424994253 40.722270427167, -73.984283975296 40.722223725983, -73.984299831956 40.722219485845, -73.984322144317 40.722188867055, -73.984329428242 40.722178872389, -73.984348334552 40.722186848073, -73.98437064096 40.722156237376, -73.984351735839 40.722148262597, -73.984381309566 40.722107678841, -73.984377059596 40.722095992351, -73.984410062114 40.72205070569, -73.984498053593 40.722087822169, -73.9844650523 40.722133108855, -73.984448473981 40.722136010761, -73.984418900283 40.722176593633, -73.984408513939 40.722172213049, -73.984386207544 40.722202822852, -73.984396592707 40.722207204339, -73.98436699645 40.722247816912, -73.984367207004 40.722248368052, -73.984371968117 40.722260843458, -73.984337935393 40.722307544667, -73.98424994253 40.722270427167)))",1004950,,66.75
"MULTIPOLYGON (((-74.004254181669 40.719133338694, -74.004296683273 40.719079575767, -74.004385038372 40.719120009835, -74.004439964169 40.719145146366, -74.004397462639 40.719198908445, -74.004309385572 40.719158601348, -74.004254181669 40.719133338694)))",1002208,,75
"MULTIPOLYGON (((-73.985562949497 40.72754014473, -73.985606913667 40.727479176768, -73.985747914671 40.727538020954, -73.985703951775 40.727598988969, -73.985612254697 40.727560721227, -73.985594364589 40.727553254671, -73.985562949497 40.72754014473)))",1006334,,46.05
"MULTIPOLYGON (((-73.999122821662 40.715179753571, -73.999161989953 40.715115506941, -73.999163283529 40.715113386249, -73.999202940803 40.715124795997, -73.999241213416 40.715135805896, -73.999240750662 40.715136769439, -73.999206252384 40.715208566007, -73.999146062867 40.715187779995, -73.999122821662 40.715179753571)))",1079241,,41.02414881
"MULTIPOLYGON (((-73.993606629889 40.711923638183, -73.993613974011 40.711913752782, -73.993611709225 40.711898303492, -73.993610662575 40.711891161482, -73.993622036595 40.711890196765, -73.99361685065 40.711854810903, -73.993605476636 40.71185577562, -73.993598177303 40.711805978764, -73.993589492064 40.711806715799, -73.993583161337 40.711763527845, -73.993580395121 40.711744652982, -73.993668403636 40.711737183614, -73.993672963972 40.711768299218, -73.993677357557 40.711798272063, -73.993668322343 40.711808132161, -73.993674892027 40.711852950948, -73.99366731803 40.711853593497, -73.99367233843 40.711887843803, -73.993672446052 40.711888579527, -73.993680020052 40.711887936978, -73.993682945962 40.711907898763, -73.993694429305 40.711914743275, -73.993703706143 40.711978025382, -73.993615697314 40.711985494777, -73.993606629889 40.711923638183)))",1003266,,58
"MULTIPOLYGON (((-73.982417373683 40.714294922809, -73.982404055813 40.714183867104, -73.982575985554 40.714165290502, -73.982584365963 40.71422315498, -73.982604335355 40.714361026172, -73.982527551478 40.714366357275, -73.982521048317 40.714312123938, -73.982554302093 40.71430981557, -73.982550995593 40.714282236031, -73.98252688533 40.714284525075, -73.982417373683 40.714294922809)))",1003738,,49.53
"MULTIPOLYGON (((-73.985466922413 40.714218556165, -73.985484523129 40.714342838753, -73.985406562901 40.714349231529, -73.9854057582 40.714343554608, -73.985399725936 40.714344049124, -73.9853954732 40.714314020159, -73.985399848572 40.71431366141, -73.985376572608 40.71414931347, -73.985372197247 40.714149672218, -73.985364540242 40.71409560819, -73.985363929337 40.714091291965, -73.985363989695 40.714091286569, -73.985447922691 40.714084404699, -73.985466922413 40.714218556165)))",1003720,,66.22
"MULTIPOLYGON (((-73.994004002935 40.699865723081, -73.994036581516 40.699800122453, -73.994046715195 40.699779718269, -73.994046983832 40.699779176175, -73.994106830414 40.699796391645, -73.994099773655 40.699810600467, -73.994065425907 40.69987976615, -73.9940433607 40.6998734191, -73.994023695292 40.699877642385, -73.994001285782 40.699871196253, -73.994004002935 40.699865723081)))",3001635,,38.6391379
"MULTIPOLYGON (((-73.984455978662 40.718971362633, -73.984426693739 40.719028160147, -73.98442377969 40.719033812255, -73.984411024647 40.719038321183, -73.984365068787 40.719127451037, -73.984370862555 40.719136445217, -73.984340310502 40.71919570363, -73.984265980022 40.719173517538, -73.984258378569 40.719171249015, -73.984256321691 40.719170635486, -73.984254355941 40.719170048085, -73.984286144256 40.719108393606, -73.984288467625 40.719108187706, -73.984289633453 40.719108084307, -73.984297769388 40.719107364108, -73.984309191187 40.719085209516, -73.984309991214 40.719085448261, -73.984320023513 40.719088442022, -73.984331338732 40.719066496332, -73.984320963229 40.719063399867, -73.984320506409 40.719063263827, -73.984345135581 40.719015496022, -73.984341371878 40.7190054143, -73.984341283168 40.719005177454, -73.984340476491 40.719003017021, -73.984356088762 40.718972735891, -73.98436851226 40.71894864083, -73.984370024345 40.718945707174, -73.984371829138 40.718946245924, -73.984455978662 40.718971362633)))",1004120,,60.73
"MULTIPOLYGON (((-73.99605820779 40.718431024203, -73.996055659605 40.718431266353, -73.996042090108 40.718453935328, -73.996026982473 40.718448700143, -73.995960929054 40.718425810482, -73.996009549252 40.718323496219, -73.99608141958 40.718348401392, -73.996070051716 40.718367391863, -73.996076760535 40.718379057299, -73.996086941168 40.718382584943, -73.996091009405 40.718375790733, -73.996099196065 40.718374230426, -73.996252679696 40.718427416945, -73.996261446038 40.718430454651, -73.996258706994 40.718436207921, -73.996240500743 40.718474441185, -73.996223987144 40.718509120189, -73.996220780537 40.718515855899, -73.996127542679 40.718483546103, -73.996139246706 40.71846399282, -73.996139273507 40.718450807552, -73.996077027432 40.718429237332, -73.99605820779 40.718431024203)))",1003107,,68.06
"MULTIPOLYGON (((-73.988401688454 40.719655715459, -73.988391884676 40.71964384575, -73.988362594118 40.719635187993, -73.988366488197 40.719627561967, -73.988328908386 40.719616453977, -73.988325014304 40.719624080001, -73.988309587329 40.719619520054, -73.988294954486 40.71961519522, -73.988274961163 40.71961825672, -73.988208024575 40.719598470185, -73.988240740144 40.719534400445, -73.988307676678 40.719554186062, -73.988319589382 40.719566950199, -73.988349649182 40.719575834973, -73.988346296179 40.719582402954, -73.988371922584 40.719589977932, -73.988383874789 40.719593510939, -73.988386963764 40.719587459823, -73.988387227789 40.719586942957, -73.988388259804 40.719587248334, -73.988416519513 40.719595601609, -73.988434403865 40.719591644765, -73.988499785388 40.719610970853, -73.98846707003 40.719675041566, -73.988401688454 40.719655715459)))",1005327,,67.12
"MULTIPOLYGON (((-73.987330724954 40.727201415583, -73.987442025096 40.727048607787, -73.987506994291 40.727075995731, -73.987415702793 40.727201332147, -73.987379864401 40.727186224888, -73.98735572958 40.727219359172, -73.987326598682 40.727207079331, -73.987330724954 40.727201415583)))",1006299,,46.59
"MULTIPOLYGON (((-73.989110424838 40.724318802899, -73.989137128108 40.724281544144, -73.989161350871 40.724277936284, -73.989205837682 40.724215865648, -73.989192037286 40.724210141617, -73.989219524218 40.724171791498, -73.989198049585 40.724162883448, -73.989195800445 40.724149588116, -73.989136324434 40.724114362698, -73.98911738352 40.724115733286, -73.989092243418 40.724105303909, -73.989116243738 40.724071818036, -73.989131950658 40.724086591475, -73.989139886432 40.724075516859, -73.989130587167 40.7240716591, -73.98916172763 40.724028211555, -73.989399362741 40.724126791727, -73.989336572229 40.724233448566, -73.989316288485 40.724223442928, -73.989296471068 40.724213666959, -73.989278809459 40.724238310457, -73.989285521476 40.724241095457, -73.989236711063 40.724309199131, -73.989243129724 40.724325517862, -73.989216426495 40.724362776641, -73.989110424838 40.724318802899)))",1006084,,72.91
"MULTIPOLYGON (((-73.994627572499 40.717404687364, -73.994491014771 40.717363279055, -73.994424257353 40.717343035075, -73.994427158636 40.717337495277, -73.994457389473 40.717279781234, -73.994535870537 40.717303580066, -73.994583522782 40.717318030103, -73.994693467185 40.717351368507, -73.994660335254 40.717414622415, -73.994627572499 40.717404687364)))",1003943,,58.88
"MULTIPOLYGON (((-73.98943089714 40.719888276654, -73.989463546562 40.719824316426, -73.989755039265 40.719910453088, -73.98972239008 40.719974412497, -73.98943089714 40.719888276654)))",1005502,,53.26
"MULTIPOLYGON (((-74.005380726182 40.709649465376, -74.00514452855 40.709843200436, -74.005133418264 40.70983535658, -74.005103298135 40.70981409235, -74.005114941972 40.709804541912, -74.005071454747 40.709773840911, -74.005094324701 40.709755083154, -74.005060727635 40.709731363373, -74.005065510598 40.709727440536, -74.005052924575 40.709718555746, -74.005079207197 40.709696997253, -74.005068018835 40.709689098463, -74.005072579331 40.709685358439, -74.00505944656 40.709676086454, -74.005083531748 40.70965633088, -74.005069132687 40.709646165645, -74.005074898978 40.709641435005, -74.005067221927 40.709636015167, -74.00511240084 40.709598958036, -74.005121677917 40.709605508842, -74.00515272212 40.709580045503, -74.005166275011 40.709589614627, -74.00516963325 40.709586859813, -74.005189798094 40.709601095986, -74.005215880645 40.709579701363, -74.005228538855 40.709588637461, -74.005233670874 40.709584428239, -74.005280445686 40.709617449647, -74.005281259804 40.70961678143, -74.005285408491 40.709613380009, -74.005312403084 40.709632437183, -74.005317197858 40.709628503529, -74.005321790845 40.709631746958, -74.00533744249 40.709618908546, -74.005380726182 40.709649465376)))",1001288,,153.81587032
"MULTIPOLYGON (((-74.003971751561 40.721291076706, -74.004110420736 40.721181926452, -74.004197229476 40.721245765857, -74.00421851741 40.721261421341, -74.004123073449 40.721336548025, -74.004082065625 40.721378780692, -74.004034947218 40.721427306321, -74.003924670216 40.721346208428, -74.003943409797 40.721321247459, -74.003957841419 40.721302025583, -74.003971751561 40.721291076706)))",1002957,,68.62
"MULTIPOLYGON (((-74.007317266654 40.716773120494, -74.007495420476 40.716546322713, -74.007518605672 40.716516806074, -74.007577597484 40.716441705047, -74.007643176787 40.7163582189, -74.007728725217 40.716397122437, -74.007871484086 40.716462044059, -74.007794761505 40.71655971683, -74.007778751302 40.716552436387, -74.007703978623 40.716647627157, -74.007690745346 40.716664472988, -74.007706755567 40.716671753443, -74.007545573683 40.716876946294, -74.007317914069 40.71677341492, -74.007317266654 40.716773120494)))",1001607,,91.11
"MULTIPOLYGON (((-73.995044897549 40.712855061451, -73.995016922441 40.712660259953, -73.99505944495 40.712656723678, -73.995083441744 40.712654728273, -73.995085806231 40.712671189711, -73.995106469221 40.712815076002, -73.995103306935 40.712816738211, -73.99510065823 40.712818861503, -73.99509863554 40.712821355831, -73.995097326447 40.712824115841, -73.995096784216 40.712827022667, -73.995097033707 40.712829952939, -73.99509806428 40.712832782388, -73.995099829788 40.712835389442, -73.99510225805 40.712837663335, -73.995105244929 40.712839507708, -73.995108661437 40.71284084241, -73.995112363197 40.712841612504, -73.99513434227 40.712839785397, -73.995141603755 40.712890350283, -73.995051047103 40.712897881002, -73.995044897549 40.712855061451)))",1003341,,66.33
"MULTIPOLYGON (((-73.989514483477 40.725342200795, -73.989574044478 40.725258551594, -73.989614628579 40.725275276817, -73.989609591798 40.725261907402, -73.989628895683 40.725234794808, -73.989662946367 40.725248826903, -73.989618400032 40.72531139028, -73.98957786476 40.725368320416, -73.989518958631 40.725344045445, -73.989514483477 40.725342200795)))",1006117,,39.35
"MULTIPOLYGON (((-73.989463546562 40.719824316426, -73.989495852581 40.71976103154, -73.989737308378 40.719832381801, -73.989787345048 40.71984716722, -73.989755039265 40.719910453088, -73.989463546562 40.719824316426)))",1005503,,55.68
"MULTIPOLYGON (((-73.983620077053 40.724443501965, -73.983660526453 40.724388374025, -73.983716099572 40.724312634649, -73.983795694098 40.724346436591, -73.983788990053 40.724355574016, -73.983699670502 40.724477304873, -73.983620077053 40.724443501965)))",1005015,,53.47
"MULTIPOLYGON (((-73.98943211201 40.726828479137, -73.989236977889 40.726747217138, -73.989269565117 40.726701927273, -73.989403458945 40.726757685685, -73.989394940397 40.726769523894, -73.989511451884 40.726818044087, -73.989487380942 40.726851495804, -73.98943211201 40.726828479137)))",1006591,,50.55
"MULTIPOLYGON (((-73.983960987003 40.722340215501, -73.983916231654 40.722401353862, -73.983849683376 40.7224922609, -73.983766702677 40.72245709874, -73.983753396773 40.722475276351, -73.983668554512 40.722439325011, -73.983633854656 40.722486725613, -73.98360424603 40.722474179103, -73.983450712855 40.722409121435, -73.983320704176 40.722354032012, -73.983357798268 40.722303360298, -73.983377229956 40.722311594664, -73.983400167898 40.722280260237, -73.983380736215 40.722272026776, -73.983480015732 40.722136409901, -73.983541527429 40.722162474956, -73.98352767451 40.722181397185, -73.98356546444 40.722197410044, -73.983579316168 40.72217848781, -73.983699764493 40.722229525998, -73.983685911605 40.722248448247, -73.98372304004 40.722264180901, -73.983736891738 40.722245257748, -73.983858590071 40.722296826346, -73.983844738398 40.722315748614, -73.983880237239 40.722330790298, -73.983894088906 40.722311868026, -73.983960987003 40.722340215501)))",1004976,,69.65
"MULTIPOLYGON (((-73.973334900156 40.700484478477, -73.973386402699 40.700451171443, -73.973498751338 40.700551797188, -73.973447248773 40.700585104273, -73.973334900156 40.700484478477)))",3395485,,18.28859195
"MULTIPOLYGON (((-73.980352623556 40.725158904773, -73.980205747736 40.725361229458, -73.980127195208 40.725328224871, -73.980162068492 40.725280186013, -73.980191146348 40.725292404626, -73.980201868917 40.725289302414, -73.980209645234 40.725278588591, -73.980194006225 40.725272018488, -73.980294001606 40.725134273931, -73.980352623556 40.725158904773)))",1004705,,64.44
"MULTIPOLYGON (((-74.009739927862 40.718355357109, -74.009753629257 40.718287390849, -74.00978573429 40.718128124805, -74.009875590114 40.718138610775, -74.0098349239 40.718340344732, -74.009829783986 40.718365843115, -74.009739927862 40.718355357109)))",1002026,,67.67999999
"MULTIPOLYGON (((-73.977042692621 40.702904491197, -73.977028281208 40.702933079577, -73.976904942688 40.702896839909, -73.976950679169 40.70281583992, -73.977042692621 40.702904491197)))",3427261,,0
"MULTIPOLYGON (((-73.992172452936 40.722486993975, -73.992236426504 40.722362514558, -73.992238951725 40.722357601548, -73.992323503844 40.722382753045, -73.992322243012 40.72238520775, -73.992257005194 40.72251214642, -73.992172452936 40.722486993975)))",1077247,,52.85
"MULTIPOLYGON (((-73.990192884779 40.726418077275, -73.990287408305 40.726286223733, -73.99034223578 40.726209742699, -73.990423842266 40.726243601453, -73.990281336913 40.726442387713, -73.990274491444 40.726451936133, -73.990192884779 40.726418077275)))",1082673,,32.18027714
"MULTIPOLYGON (((-73.989643509121 40.725395373133, -73.989671249681 40.725356411489, -73.989684220792 40.725353274377, -73.989708960065 40.72531852864, -73.989716393578 40.725317966486, -73.989731366649 40.725296937328, -73.989849412187 40.725345584298, -73.989772453695 40.725453670117, -73.989640668882 40.725399360332, -73.989643509121 40.725395373133)))",1006115,,70.13
"MULTIPOLYGON (((-73.989620781011 40.718351627622, -73.989559352168 40.71833280501, -73.989555452445 40.718324932397, -73.989525042788 40.718315613858, -73.989531453571 40.71830350348, -73.98950085457 40.718294127285, -73.989494444966 40.718306238561, -73.989483375833 40.71830284623, -73.989464961995 40.718297204652, -73.989457226867 40.718301511985, -73.989373556906 40.718275873975, -73.989401183144 40.718223680253, -73.989406146036 40.718214305499, -73.989484613339 40.718238349107, -73.989493843725 40.718246166378, -73.989521184572 40.718254544513, -73.989515155005 40.718265936318, -73.989547272406 40.718275777311, -73.989553301968 40.718264385504, -73.989578998969 40.718272259191, -73.989591638182 40.718271143702, -73.989667866464 40.718294500794, -73.98963527872 40.718356070244, -73.989620781011 40.718351627622)))",1005292,,60.94
"MULTIPOLYGON (((-73.987967402895 40.721444086143, -73.987961942092 40.721435772967, -73.987869756535 40.72140906318, -73.987852182186 40.721410702056, -73.987784047299 40.721390961079, -73.987816750184 40.721325627158, -73.987977695395 40.72137225986, -73.987977756939 40.721372277877, -73.988056312894 40.72139503833, -73.988056108058 40.721395448041, -73.988023611393 40.721460372318, -73.987967402895 40.721444086143)))",1005410,,58.53
"MULTIPOLYGON (((-73.983524932628 40.712347934806, -73.983505464901 40.712210034992, -73.983400326503 40.712218628766, -73.983391879856 40.712158796706, -73.983375585549 40.712043373176, -73.983492890771 40.712033784304, -73.983506318114 40.712128890082, -73.98359584894 40.712121571813, -73.983596911683 40.712121484615, -73.983613843155 40.712241417061, -73.983639114068 40.712420423298, -73.98363688206 40.712420605785, -73.983548518915 40.712427827897, -73.983561547111 40.712520108703, -73.983444239859 40.712529696743, -73.983419794014 40.712356528597, -73.983524932628 40.712347934806)))",1077521,,56.95
"MULTIPOLYGON (((-73.991764841027 40.718188888718, -73.991845278561 40.718212942564, -73.991811315896 40.718278691801, -73.991626153043 40.718223320527, -73.991660115863 40.718157572245, -73.991764841027 40.718188888718)))",1005432,,55.89
"MULTIPOLYGON (((-73.9980909966 40.723165146786, -73.998122686945 40.7231273142, -73.998054615115 40.723094309397, -73.998062137326 40.723085328742, -73.998167983078 40.722958966473, -73.998248791664 40.72286249434, -73.998320379952 40.722893397291, -73.998278499697 40.722943397465, -73.998250336841 40.722977019366, -73.998181938847 40.723058674711, -73.998229208728 40.723081593414, -73.998233617877 40.723076329103, -73.998491066889 40.723201151483, -73.998497046518 40.723204050301, -73.998402945324 40.723316392099, -73.9980909966 40.723165146786)))",1007561,,149.34
"MULTIPOLYGON (((-73.999219928438 40.720816416438, -73.999164522724 40.720789094583, -73.999214937086 40.720729915234, -73.999427782657 40.720834874503, -73.999377369588 40.720894053945, -73.999219928438 40.720816416438)))",1007019,,73.01
"MULTIPOLYGON (((-74.002451703425 40.720783898435, -74.002486962085 40.720742372469, -74.002752593609 40.720872927733, -74.002717335046 40.720914453779, -74.002451703425 40.720783898435)))",1077581,,86.4
"MULTIPOLYGON (((-73.979576383064 40.720708066025, -73.979624610841 40.720641420631, -73.979642208477 40.720648792616, -73.979667892416 40.720613300857, -73.979650294787 40.720605928876, -73.979697648565 40.720540492681, -73.979855201221 40.720606491704, -73.979807848734 40.720671927963, -73.979792693681 40.720665579412, -73.979767009788 40.720701072099, -73.979782163664 40.720707419753, -73.979751759996 40.720749434901, -73.979733935996 40.720774065212, -73.979680541787 40.720751697944, -73.979576383064 40.720708066025)))",1004376,,54.62
"MULTIPOLYGON (((-74.00635984159 40.717857366482, -74.00654674483 40.717623869923, -74.006624107205 40.71765716186, -74.006800823064 40.717430685845, -74.006957487977 40.717501852808, -74.006946019896 40.717516103174, -74.00682219365 40.717669980757, -74.006778041701 40.717724847849, -74.00687406861 40.717769583101, -74.006950346252 40.717805117153, -74.006950701329 40.717805282826, -74.006982961283 40.717820311288, -74.00700491927 40.717830540649, -74.006996920811 40.717840480067, -74.006950266041 40.717898459539, -74.006956265671 40.71790125436, -74.00710905341 40.717972432152, -74.006976766163 40.718143242706, -74.00635984159 40.717857366482)))",1001967,,117.7410693
"MULTIPOLYGON (((-74.004077102907 40.722753252158, -74.004081351798 40.722748226263, -74.00414945351 40.722667673246, -74.004161894915 40.722673761142, -74.004265966745 40.722724691053, -74.00418709614 40.722817982238, -74.00407058281 40.722760965253, -74.004077102907 40.722753252158)))",1007116,,58.28
"MULTIPOLYGON (((-73.99685166877 40.713969513283, -73.996846404271 40.713928895607, -73.996834378758 40.713836129174, -73.996833748204 40.713831269101, -73.99691961226 40.713824824673, -73.996920080745 40.713828434833, -73.996942228515 40.713999291105, -73.996856364236 40.71400573555, -73.99685166877 40.713969513283)))",1003524,,41.84
"MULTIPOLYGON (((-73.994533183562 40.726734935422, -73.994751233724 40.726480029449, -73.994980194088 40.726593384032, -73.994762144431 40.726848289534, -73.994533183562 40.726734935422)))",1008423,,94
"MULTIPOLYGON (((-73.988156688465 40.726807602813, -73.988194890789 40.726755177295, -73.988236564302 40.726772753193, -73.988300729967 40.726684697144, -73.988303627156 40.726680720791, -73.988284728566 40.726672750265, -73.988261953683 40.726663144917, -73.988264570271 40.726659553053, -73.988303757492 40.726605777735, -73.988460868956 40.726672037735, -73.988419066424 40.726729404973, -73.988380011023 40.72671293433, -73.988364598037 40.726734085732, -73.988312947059 40.726804966776, -73.988343849819 40.726818000274, -73.988352002497 40.726821438342, -73.988313800259 40.726873863011, -73.98819826968 40.726825139092, -73.988156688465 40.726807602813)))",1006258,,68.83
"MULTIPOLYGON (((-73.998103525543 40.721948935853, -73.998154412811 40.721889304929, -73.998222671635 40.721923022884, -73.998399954814 40.722010594641, -73.998422799362 40.722021879243, -73.998371913416 40.722081509384, -73.998360701223 40.722075971091, -73.99818414583 40.721988759489, -73.998103525543 40.721948935853)))",1007210,,78.42
"MULTIPOLYGON (((-73.9776667778 40.727272068713, -73.977732725436 40.727300153952, -73.97763138275 40.727437875272, -73.97756543502 40.727409789975, -73.9776667778 40.727272068713)))",1079054,,18.46
"MULTIPOLYGON (((-73.990437231255 40.714145008315, -73.990526430292 40.71413766392, -73.99054217483 40.714248382992, -73.990452974463 40.7142557265, -73.990437231255 40.714145008315)))",1003597,,51.1
"MULTIPOLYGON (((-74.009544498471 40.714485600516, -74.009691184624 40.714301505885, -74.009700909858 40.71430599231, -74.009772023524 40.714338799099, -74.009673292643 40.71446270959, -74.009625337512 40.714522893831, -74.009601672359 40.714511976217, -74.00959948096 40.714514726559, -74.009596619724 40.714517543595, -74.009593203347 40.714519728518, -74.009589332444 40.714521419999, -74.009585128906 40.714522561297, -74.00958072646 40.714523119079, -74.009576262386 40.714523074425, -74.009571881069 40.714522428223, -74.009567718612 40.714521202074, -74.00956390757 40.714519433788, -74.009560568664 40.714517180087, -74.009557807234 40.714514511203, -74.009555710871 40.714511513578, -74.009554345861 40.714508279958, -74.009553756008 40.714504912998, -74.009553959079 40.714501520757, -74.009554947989 40.714498208597, -74.009556112041 40.714494815377, -74.009558359054 40.714491994791, -74.009544498471 40.714485600516)))",1082029,,33.72
"MULTIPOLYGON (((-74.006111477511 40.710289939015, -74.00592913045 40.710177323437, -74.006108302932 40.709998298765, -74.006223198291 40.71005721575, -74.006466956772 40.710182213059, -74.006192447502 40.710411000292, -74.006188574528 40.710414228833, -74.006143808641 40.710373996398, -74.006136940796 40.710367824662, -74.006150110682 40.71035300695, -74.006172610703 40.71032769418, -74.006160043457 40.710319932448, -74.006111477511 40.710289939015)))",1001269,,276.26
"MULTIPOLYGON (((-73.988704737883 40.71286767241, -73.988713162193 40.712927368094, -73.988700920824 40.71294014334, -73.988711516529 40.713015217259, -73.988718171363 40.713062368653, -73.988733294549 40.713070005565, -73.988738774461 40.71310882982, -73.988741546334 40.713128471131, -73.988649367308 40.713136003858, -73.988645447716 40.713108234423, -73.98861255803 40.712875205108, -73.988704737883 40.71286767241)))",1003234,,69.05
"MULTIPOLYGON (((-73.990122110659 40.718544410592, -73.99015581823 40.718479110288, -73.990189056632 40.718489043049, -73.990434049467 40.718562251717, -73.990422853552 40.718583941373, -73.990369164262 40.71856789791, -73.990346652807 40.718611509529, -73.990220783319 40.71857389631, -73.990122110659 40.718544410592)))",1005474,,55.35
"MULTIPOLYGON (((-73.990043233015 40.717935583318, -73.990081390886 40.7179468655, -73.990086077249 40.717957771082, -73.990143807604 40.717974839804, -73.990157385943 40.717969334346, -73.990207791738 40.717984237583, -73.990181867184 40.718034997133, -73.990181643432 40.718035434762, -73.990180970028 40.718035235692, -73.990007840409 40.717984045709, -73.990000262562 40.717981805482, -73.990012096662 40.717958634582, -73.990026409803 40.717930609245, -73.990043233015 40.717935583318)))",1005274,,58.77
"MULTIPOLYGON (((-73.980221142754 40.713517879642, -73.980210218267 40.713426171556, -73.980120130606 40.713432384869, -73.980084014549 40.713129193774, -73.98017410062 40.713122980489, -73.980163002729 40.713029818039, -73.980263157642 40.713022909423, -73.98028413824 40.713021462295, -73.980289532029 40.713066735496, -73.980305304973 40.713199145693, -73.980200908222 40.713206347183, -73.98021153281 40.713295536493, -73.980216956083 40.713341062744, -73.980304241136 40.713335041586, -73.980321353043 40.71333386124, -73.980342279145 40.713509523837, -73.980233308941 40.713517040654, -73.980221142754 40.713517879642)))",1083399,,58.47
"MULTIPOLYGON (((-73.995024931429 40.71940968913, -73.995019296638 40.719407731177, -73.995058347157 40.719342656605, -73.995109621239 40.719360468179, -73.995129118724 40.719367241741, -73.995134278092 40.719380365091, -73.995162583426 40.719390198051, -73.995155484749 40.719402026852, -73.995194541301 40.71941559377, -73.995201638788 40.719403764967, -73.995258327617 40.719423456965, -73.995277447207 40.719418767894, -73.995338263052 40.719439894534, -73.995310760495 40.719508980542, -73.995238396857 40.71948384344, -73.995229600329 40.719471327789, -73.995172912652 40.719451635777, -73.995178254712 40.71944273446, -73.995139198149 40.719429166636, -73.995133857268 40.719438067951, -73.995105551918 40.719428235885, -73.99509006826 40.719432316337, -73.995024931429 40.71940968913)))",1006942,,68.74
"MULTIPOLYGON (((-73.988900263571 40.72423161983, -73.988994574637 40.72410003204, -73.9890430842 40.724120155847, -73.989071147704 40.724131797597, -73.989044318962 40.724169231025, -73.988976836745 40.72426338545, -73.988900263571 40.72423161983)))",1006087,,53.99
"MULTIPOLYGON (((-74.001343087571 40.718475240241, -74.001516673141 40.718256839169, -74.001596718061 40.71829224254, -74.001417003223 40.718517439957, -74.001343087571 40.718475240241)))",1002352,,19.94
"MULTIPOLYGON (((-73.980513755561 40.721382012409, -73.980416723133 40.721514920192, -73.980343594112 40.721484015745, -73.980440626641 40.721351108024, -73.980513755561 40.721382012409)))",1004355,,52.14
"MULTIPOLYGON (((-74.002664140825 40.707629902724, -74.002720409398 40.707604923923, -74.00267688722 40.707554155013, -74.002753101916 40.707520321001, -74.002768481574 40.707540383125, -74.002800887048 40.707582655046, -74.00288126703 40.707546972098, -74.002969862654 40.707664384821, -74.00277539461 40.707765149696, -74.002664140825 40.707629902724)))",1001345,,78
"MULTIPOLYGON (((-74.007947703799 40.720474957605, -74.007960569871 40.720400330564, -74.008008884154 40.720405151244, -74.008024571006 40.720314149128, -74.008178466395 40.720329504595, -74.008217107422 40.720105325313, -74.008403684823 40.7201239605, -74.008336499473 40.72051375108, -74.007947703799 40.720474957605)))",1002166,,119
"MULTIPOLYGON (((-73.980451163704 40.72277334597, -73.980486217709 40.7227252593, -73.98056475986 40.722617511302, -73.980588991111 40.722584271276, -73.980675897103 40.722620940235, -73.980579073903 40.722753765321, -73.980522109426 40.722831910926, -73.980435203244 40.722795240951, -73.980451163704 40.72277334597)))",1004647,,43.33
"MULTIPOLYGON (((-73.98337137562 40.702636885088, -73.983374871415 40.702597180219, -73.983467163591 40.702601886979, -73.983463614455 40.702642187081, -73.983461628076 40.702664744621, -73.983369336998 40.702660036956, -73.98337137562 40.702636885088)))",3378512,,8.28
